,StepLengthRatio,StrideWidthRatio,StrideLengthRightRatio,StrideTimeRight,StrideLengthLeftRatio,StrideTimeLeft,VelocityRatio,AccelerationRatio,RightThighRotationX,RightThighRotationY,RightThighRotationZ,RightThighRotationW,LeftThighRotationX,LeftThighRotationY,LeftThighRotationZ,LeftThighRotationW,RightShinRotationX,RightShinRotationY,RightShinRotationZ,RightShinRotationW,LeftShinRotationX,LeftShinRotationY,LeftShinRotationZ,LeftShinRotationW,RightShoulderRotationX,RightShoulderRotationY,RightShoulderRotationZ,RightShoulderRotationW,LeftShoulderRotationX,LeftShoulderRotationY,LeftShoulderRotationZ,LeftShoulderRotationW,HeadRotationX,HeadRotationY,HeadRotationZ,HeadRotationW
count,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0,127331.0
mean,-0.028866954308063228,-0.024683065215854737,-0.1576006718709505,0.04186855241849981,-0.08972928659163912,0.03811205096166682,-0.2141771176854026,-25.086527697285028,0.0011659813399721968,0.017974139039197038,0.005093982360933317,0.06599595543897402,-0.003682815889296401,0.064554302510779,0.00017427104946949188,-0.01647822045691936,-0.0056034378745160275,0.016048009220064247,-0.010657271410732654,0.06709487922029983,0.006337893356684542,0.06327858622801989,-0.0035872077734408745,-0.01362250171600003,0.03905520127855746,0.03843510322702247,0.02426821504582545,0.027440129921228927,-0.03371726936095688,0.0338115564395159,-0.03551754786344253,0.029909490658205785,0.042052446780438374,-0.0030493620956404967,0.04255683427445006,0.012749419402973354
std,0.22200101458689733,0.27077766685086174,0.3027640894393717,0.2096869799034277,0.3272364627287125,0.4176224503492705,0.5641692878015125,127.45294002574096,0.14394070319365213,0.9122501532327474,0.14696655111831516,0.9365887545500547,0.1338960951529812,0.9350342511512982,0.13583948561050618,0.9109990294805017,0.21732133342433316,0.8989925945960553,0.22196530983532534,0.9244463849007778,0.21450448197337058,0.9186849469313096,0.21545116157870645,0.8984712809286421,0.639868104855424,0.647148964186529,0.6763585941341631,0.674824073858413,0.6534913087816262,0.6290555140121394,0.6859036633198634,0.6667697317001624,0.8878073815621379,0.15603903172028585,0.9628801047022963,0.15093209940559218
min,-0.6878329999999999,-0.8623149999999999,-1.326901,-0.654993,-1.499005,-6.856899,-20.11606,-4959.9694500000005,-0.469936,-1.961796,-0.4905859999999999,-1.989869,-0.477307,-1.977572,-0.495662,-1.994332,-0.6862680000000001,-1.984959,-0.8284590000000001,-1.977184,-0.7484200000000001,-1.993353,-0.668566,-1.984228,-1.451551,-1.437579,-1.433771,-1.360215,-1.402415,-1.415649,-1.470255,-1.40743,-1.975525,-0.447121,-1.987598,-0.5274540000000001
25%,-0.19265899999999994,-0.216533,-0.3461749999999999,-0.024316,-0.24488,-0.0074499999999999,-0.5198860000000001,-59.410845,-0.08857199999999996,-0.5775064999999999,-0.093359,-0.572846,-0.0859425,-0.55823,-0.08372599999999995,-0.6376285,-0.14296,-0.56772,-0.15092450000000002,-0.5605789999999999,-0.13161250000000002,-0.561722,-0.145807,-0.6365995,-0.27739199999999997,-0.27818899999999996,-0.385254,-0.38556599999999996,-0.4247004999999999,-0.268343,-0.4589025,-0.3637765,-0.40216850000000004,-0.1089035,-0.523095,-0.086399
50%,-0.024116,-0.016671,-0.102789,0.022413,-0.0641450000000001,0.041887,-0.173379,-12.920440000000005,0.001057,-0.0068519999999999,0.0036689999999999,0.018363,-0.001957,0.018576,0.001745,0.000696,-0.002737,-0.0049589999999999,-0.009243,0.0184539999999999,0.0086309999999999,0.0215889999999999,0.000952,-0.001595,0.0067589999999999,0.001896,0.020289,0.0190369999999999,-0.0069089999999999,0.0058559999999999,-0.0209669999999999,0.02029,-0.000448,-0.0060959999999999,0.037774,0.0093889999999999
75%,0.1250979999999999,0.16094249999999996,0.050999,0.0730319999999999,0.103675,0.094142,0.12245700000000005,21.0287655,0.095298,0.6342865,0.09931849999999995,0.67807,0.0820635,0.6853735,0.088453,0.586072,0.13207,0.6245555,0.12969449999999993,0.669173,0.1438145,0.6754070000000001,0.1368645,0.5742115,0.426439,0.437103,0.44614,0.44662199999999996,0.293712,0.41643349999999996,0.36983350000000004,0.429055,0.6012045,0.1048719999999999,0.6010489999999999,0.1074649999999999
max,0.6188659999999999,0.8632610000000001,1.065308,3.265953,1.257956,1.2595040000000002,16.633799,3775.71541,0.451239,1.957674,0.561876,1.983504,0.418918,1.996744,0.432939,1.985401,0.871908,1.949526,0.703255,1.98798,0.762991,1.990196,0.806253,1.96311,1.487149,1.4254440000000002,1.477221,1.45037,1.4395,1.473446,1.39031,1.386125,1.957322,0.506846,1.996785,0.517514
